Date,Product,Category,Region,Sales_Channel,Unit_Price,Quantity_Sold,Discount_Percent,Customer_Rating,Shipping_Cost,Marketing_Spend,Revenue,Profit_Margin,Profit,Month,Quarter,Day_of_Week
2024-03-11,Webcam,Electronics,Asia Pacific,Partner,89.23841251022886,7,0.13374982585607734,3.1999498316360055,25.66620013846402,173.5172194581207,541.1195326411907,0.3003249953562942,162.5117211276657,3,1,Monday
2024-10-25,Tablet,Computing,Europe,Online,513.9819704323988,12,0.281565812704725,3.0015575316820287,49.649520168104786,312.5659397175811,4431.146630544295,0.10517829564917203,466.06045037222026,10,4,Friday
2023-01-22,Desktop,Electronics,Latin America,Online,756.4916560792168,10,0.013999698964084628,4.9475110376829186,15.474710319363691,54.397152921082196,7459.010006252659,0.257611383935454,1921.525890499147,1,1,Sunday
2024-07-16,Headphones,Audio,Asia Pacific,Direct,109.62072844310214,3,0.25798212202089615,4.360615077175559,25.272466338629435,16.4998309683346,244.02162090562268,0.3465130685876603,84.55668066174206,7,3,Tuesday
2023-11-12,Laptop,Accessories,Europe,Retail,1142.7682615040223,2,0.20526990795364705,3.8803049874792026,10.491720568015047,252.6366859545224,1816.3846513054848,0.11335565542347999,205.8974726498824,11,4,Sunday
2023-02-04,Webcam,Accessories,North America,Direct,66.83385329205234,4,0.09351332282682329,4.040136042355622,29.601962570447583,100.57868320750825,242.33599037356842,0.3868497051664812,93.74760642724218,2,1,Saturday
2024-02-06,Webcam,Accessories,Latin America,Retail,74.81813385006805,4,0.17936999364332554,4.843748470046234,8.982162592336378,106.03160258538115,245.59202262790348,0.22724790490179678,55.81027260278573,2,1,Tuesday
2024-12-02,Laptop,Audio,North America,Direct,1408.3920660824285,15,0.24862125274557878,3.713506653387179,17.642052935932135,275.92108074754174,15873.537993841217,0.18696864761541138,2967.8539315803428,12,4,Monday
2023-06-06,Laptop,Computing,North America,Online,969.3818440447163,9,0.23167343078899721,3.397431363068345,5.248495270562108,409.5760999428687,6703.216438412811,0.25954640849258287,1739.795751938488,6,2,Tuesday
2024-01-27,Laptop,Computing,Asia Pacific,Online,1323.5759848686068,10,0.10753971856328177,3.2317381190502594,43.83965416440171,315.41608214550337,11812.389959587183,0.3403642563529109,4020.5153243454824,1,1,Saturday
2023-02-02,Desktop,Audio,Asia Pacific,Partner,907.536501065443,5,0.21888185350141923,4.2751149427104265,44.924573415934695,241.38531332935514,3544.4661479602305,0.2424265185305913,859.2725882995344,2,1,Thursday
2024-04-06,Mouse,Computing,North America,Online,27.015964969618704,14,0.14813867890931723,4.045465658763988,24.239345826134734,22.455372104606642,322.193978533826,0.2935317029759176,94.57414720762017,4,2,Saturday
2024-11-21,Mouse,Computing,Latin America,Partner,25.942127789776396,4,0.2722699421778279,3.49858445829775,23.46723153660334,380.22005788609385,75.51546462593663,0.249974316360058,18.876926644480655,11,4,Thursday
2024-06-08,Keyboard,Audio,Asia Pacific,Partner,57.36962332599261,2,0.18730621444013798,3.591267371675428,9.747241692362177,233.701939536626,93.2478727138886,0.2893816769923478,26.98422578191407,6,2,Saturday
2024-07-09,Keyboard,Audio,Europe,Retail,53.48355604789127,7,0.2720485324637262,3.5442644987692704,34.14605542436131,10.254984727704752,272.534031798847,0.141409274558991,38.53883972931194,7,3,Tuesday
2023-09-16,Mouse,Computing,Europe,Direct,26.67611774219303,5,0.2077308098670811,3.538824667597043,15.985648501149837,92.46261066473598,105.67333099748828,0.11159901585342999,11.793039741273448,9,3,Saturday
2024-08-30,Tablet,Audio,North America,Direct,392.7259204758588,17,0.07617462418030341,3.4937521256772026,36.333692277790476,359.0125890629766,6167.772908321691,0.14107042170921782,870.0903251836298,8,3,Friday
2024-09-16,Mouse,Audio,North America,Partner,27.61955417474871,2,0.12331110399546938,3.066101465801097,20.528206161200735,320.83215890366824,48.42751291519554,0.18575144339917865,8.995480424229937,9,3,Monday
2023-05-10,Headphones,Electronics,Latin America,Retail,129.28252270553006,4,0.024255997899814575,3.7393089121228087,15.897197222484165,403.53848062614895,504.58658442520795,0.17600681873443208,88.81067950075378,5,2,Wednesday
2024-09-01,Mouse,Accessories,Europe,Partner,30.2053984152423,16,0.2505907486767714,3.6415601299434717,13.393332967993441,29.97981936183432,362.1792801965851,0.2845526048981941,103.05905762009122,9,3,Sunday
